Country,TFR,contraception,infant.mortality,GDP,region,Continent
Sweden,1.8,78,5,26253,Europe,1
Switzerland,1.46,71,5,42416,Europe,1
Syria,4,36,33,3573,Asia,2
Tajikistan,3.93,21,56,122,Asia,2
Tanzania,5.48,18,80,139,Africa,4
Thailand,1.74,74,30,2896,Asia,2
Togo,6.08,12,86,322,Africa,4
Tonga,4.02,74,3,1787,Oceania,5
Trinidad-and-Tobago,2.1,53,14,4083,Americas,3
Tunisia,2.92,60,37,2030,Africa,4
Turkey,2.5,63,44,2814,Asia,2
Turkmenistan,3.58,20,57,321,Asia,2
Tuvalu,1.61,71,7,19121,Oceania,5
Uganda,7.1,15,113,305,Africa,4
Ukraine,1.38,23,18,694,Europe,1
United-Arab-Emirates,3.46,69,15,17690,Asia,2
United-Kingdom,1.72,82,6,18913,Europe,1
United-States,1.96,71,7,26037,Americas,3
Uruguay,2.25,38,17,5602,Americas,3
Uzbekistan,3.48,56,43,435,Asia,2
Vanuatu,4.36,15,38,1289,Oceania,5
Venezuela,2.98,52,21,3496,Americas,3
Viet-Nam,2.97,65,37,270,Asia,2
Virgin-Islands,3.03,71,12,2696,Americas,3
Western-Sahara,3.98,71,64,2497,Africa,4
Yemen,7.6,7,80,732,Asia,2
Yugoslavia,1.8,64,19,1487,Europe,1
Zambia,5.49,25,103,382,Africa,4
Zimbabwe,4.68,48,68,786,Africa,4
